"","Age","gender","Points","Attitude","deep","surf","stra"
"1",53,"F",25,37,3.58333333333333,2.58333333333333,3.375
"2",55,"M",12,31,2.91666666666667,3.16666666666667,2.75
"3",49,"F",24,25,3.5,2.25,3.625
"4",53,"M",10,35,3.5,2.25,3.125
"5",49,"M",22,37,3.66666666666667,2.83333333333333,3.625
"6",38,"F",21,38,4.75,2.41666666666667,3.625
"7",50,"M",21,35,3.83333333333333,1.91666666666667,2.25
"8",37,"F",31,29,3.25,2.83333333333333,4
"9",37,"M",24,38,4.33333333333333,2.16666666666667,4.25
"10",42,"F",26,21,4,3,3.5
"11",37,"M",31,39,3.58333333333333,2.66666666666667,3.625
"12",34,"F",31,38,3.83333333333333,2.41666666666667,4.75
"13",34,"F",23,24,4.25,2.25,3.625
"14",34,"F",25,30,3.33333333333333,2.75,3.5
"15",35,"M",21,26,4.16666666666667,2.33333333333333,1.75
"16",33,"F",31,41,3.66666666666667,2.33333333333333,3.875
"17",32,"F",20,26,4.08333333333333,2.91666666666667,1.375
"18",44,"F",22,26,3.5,2.5,3.25
"19",29,"M",9,17,4.08333333333333,3.75,3
"20",30,"F",24,27,4,2.75,3.75
"21",27,"M",28,39,3.91666666666667,2.33333333333333,2.625
"22",29,"M",30,34,4,2.41666666666667,2.375
"23",31,"F",24,27,4,3,3.625
"24",37,"F",9,23,3.66666666666667,2.41666666666667,2.75
"25",26,"F",26,37,3.66666666666667,2.83333333333333,1.75
"26",26,"F",32,44,4.41666666666667,3.16666666666667,3.25
"27",30,"M",32,41,3.91666666666667,3,4
"28",33,"F",33,37,3.75,2,3.625
"29",33,"F",29,25,3.25,3.5,2.875
"30",28,"M",30,30,3.58333333333333,3.75,3
"31",26,"M",19,34,4.91666666666667,2.5,1.625
"32",27,"F",23,32,3.58333333333333,2.08333333333333,3.25
"33",25,"F",19,20,2.91666666666667,2.41666666666667,3.5
"34",31,"F",12,24,3.66666666666667,2.58333333333333,3
"35",20,"M",10,42,4.5,1.58333333333333,3.25
"36",39,"F",11,16,4.08333333333333,2.83333333333333,1.875
"37",38,"M",20,31,3.83333333333333,1.83333333333333,4.375
"38",24,"M",26,38,3.25,2.41666666666667,3.625
"39",26,"M",31,38,2.33333333333333,3.25,2.5
"40",25,"M",20,33,3.33333333333333,3.41666666666667,1.25
"41",30,"F",23,17,4.08333333333333,3.41666666666667,4
"42",25,"F",12,25,2.91666666666667,3.16666666666667,3
"43",30,"M",24,32,3.33333333333333,3.5,2.5
"44",48,"F",17,35,3.83333333333333,2.66666666666667,4.875
"45",24,"F",29,32,3.66666666666667,2.41666666666667,5
"46",40,"F",23,42,4.66666666666667,3.58333333333333,4.375
"47",25,"M",28,31,3.75,2.08333333333333,3.25
"48",23,"F",31,39,3.41666666666667,3.75,4
"49",25,"F",23,19,4.16666666666667,2.91666666666667,3.125
"50",23,"F",25,21,2.91666666666667,2.91666666666667,2.5
"51",27,"M",18,25,4.16666666666667,2.41666666666667,3.125
"52",25,"M",19,32,3.58333333333333,3,3.25
"53",23,"M",22,32,2.83333333333333,3.41666666666667,2.125
"54",23,"F",25,26,4,2.91666666666667,2.75
"55",23,"F",21,23,2.91666666666667,3.25,2.375
"56",45,"F",9,38,3,3.25,3.125
"57",22,"F",28,28,4.08333333333333,2.33333333333333,4
"58",23,"F",25,33,2.91666666666667,3.25,4
"59",21,"M",29,48,3.5,2.5,2.25
"60",21,"M",33,40,4.33333333333333,1.75,3.25
"61",21,"F",33,40,4.25,2.25,3.625
"62",21,"F",25,47,3.41666666666667,2.08333333333333,3.625
"63",26,"F",18,23,3.08333333333333,2.83333333333333,2.5
"64",25,"F",22,31,4.58333333333333,2.83333333333333,1.875
"65",26,"F",17,27,3.41666666666667,2.41666666666667,2
"66",21,"M",25,41,3.41666666666667,2.25,1.875
"67",23,"F",28,34,3.41666666666667,2.83333333333333,4
"68",22,"F",22,25,3.58333333333333,2.25,2.875
"69",22,"F",26,21,1.58333333333333,1.83333333333333,3.875
"70",22,"F",11,14,3.33333333333333,2.91666666666667,2.5
"71",23,"F",29,19,4.33333333333333,2.91666666666667,2.75
"72",22,"M",22,37,4.41666666666667,2.08333333333333,4.5
"73",23,"M",21,32,4.83333333333333,2.33333333333333,3.375
"74",24,"M",28,28,3.08333333333333,2.41666666666667,2.625
"75",22,"F",33,41,3,2.75,4.125
"76",23,"F",16,25,4.08333333333333,3.25,2.625
"77",22,"M",31,28,4.08333333333333,1.75,2.25
"78",20,"M",22,38,3.75,2.58333333333333,2.75
"79",22,"M",31,31,3.08333333333333,3.33333333333333,3
"80",21,"M",23,35,4.75,2.83333333333333,1.625
"81",22,"F",26,36,4.25,2.5,1.875
"82",23,"F",12,26,4.16666666666667,2.41666666666667,3.375
"83",21,"M",26,44,4.41666666666667,2.41666666666667,3.75
"84",22,"M",31,45,3.83333333333333,2.58333333333333,2.125
"85",29,"M",19,32,3.33333333333333,3,2.375
"86",29,"F",30,39,3.16666666666667,2,2.75
"87",21,"F",12,25,3.16666666666667,3.41666666666667,3.125
"88",28,"M",17,33,3.83333333333333,2.83333333333333,3.5
"89",21,"F",18,33,4.25,2.25,2.625
"90",30,"F",19,30,3.83333333333333,2.75,3.375
"91",21,"F",21,29,3.66666666666667,3.91666666666667,2.25
"92",23,"M",24,33,3.83333333333333,2.33333333333333,3
"93",21,"F",28,33,3.83333333333333,2.75,4
"94",21,"F",17,35,3.83333333333333,2.75,3.5
"95",20,"F",18,36,3.66666666666667,2.91666666666667,2.625
"96",22,"M",17,37,4.33333333333333,2.08333333333333,2.5
"97",21,"M",23,42,3.75,3.66666666666667,3.75
"98",21,"M",26,32,4.16666666666667,2.83333333333333,3.625
"99",20,"F",28,50,4,3.41666666666667,4.125
"100",22,"M",31,47,4,1.58333333333333,4.375
"101",20,"F",27,36,4.58333333333333,2.91666666666667,2.625
"102",20,"F",25,36,3.66666666666667,3,4
"103",24,"M",23,29,3.66666666666667,2.91666666666667,2.75
"104",20,"F",21,35,3.83333333333333,2.66666666666667,2.75
"105",19,"F",27,40,2.58333333333333,3,1.375
"106",21,"F",28,35,3.5,2.75,2.25
"107",21,"F",23,32,3.08333333333333,3.08333333333333,3.625
"108",22,"F",21,26,4.25,2.5,3.75
"109",25,"F",25,20,3.16666666666667,2.33333333333333,4
"110",21,"F",11,27,3.08333333333333,3,3.125
"111",22,"F",19,32,4.16666666666667,3,3.25
"112",25,"F",24,33,2.25,4,2.125
"113",20,"F",28,39,3.33333333333333,3.25,2.875
"114",24,"M",21,33,3.08333333333333,3.5,1.5
"115",20,"F",24,30,2.75,3.5,2.5
"116",21,"M",24,37,3.25,3.83333333333333,3.25
"117",20,"F",20,25,4,2.91666666666667,3.625
"118",20,"F",19,29,3.58333333333333,2.16666666666667,3.875
"119",31,"M",30,39,4.08333333333333,1.66666666666667,3.875
"120",20,"F",22,36,4.25,2.08333333333333,2.375
"121",22,"F",16,29,3.41666666666667,2.83333333333333,3
"122",22,"F",16,21,3.08333333333333,3.41666666666667,3.375
"123",21,"M",19,31,3.5,3.33333333333333,2.75
"124",22,"M",30,40,3.66666666666667,2.58333333333333,4.5
"125",21,"F",23,31,4.25,2.83333333333333,2.625
"126",21,"F",19,23,4.25,3.33333333333333,2.75
"127",21,"F",18,28,3.83333333333333,3,3.25
"128",21,"F",28,37,4.41666666666667,2.58333333333333,4.125
"129",20,"F",21,26,3.5,2.41666666666667,3.375
"130",21,"F",19,24,3.58333333333333,3.58333333333333,2.75
"131",25,"F",27,30,3.66666666666667,2.08333333333333,4.125
"132",21,"M",24,28,2.08333333333333,4.33333333333333,3.25
"133",24,"F",21,29,4.25,2.66666666666667,2.875
"134",20,"F",20,24,3.58333333333333,3,2.875
"135",21,"M",28,31,4,2.66666666666667,2.375
"136",20,"F",12,19,3.33333333333333,2.16666666666667,3.875
"137",20,"F",21,20,3.5,2.66666666666667,2.125
"138",18,"F",28,38,3.16666666666667,2.25,4
"139",21,"F",31,34,3.58333333333333,2.66666666666667,3.25
"140",19,"F",18,37,3.41666666666667,3.33333333333333,2.625
"141",21,"F",25,29,4.25,3.5,2.75
"142",20,"F",19,23,3.25,2.75,4
"143",21,"M",21,41,4.41666666666667,2,3
"144",20,"F",16,27,3.25,2.83333333333333,3.375
"145",21,"F",7,35,3.91666666666667,3.5,3.875
"146",20,"F",21,34,3.58333333333333,2.5,3.25
"147",18,"F",17,32,4.5,3.16666666666667,3.375
"148",22,"M",22,33,3.58333333333333,3.08333333333333,4.125
"149",22,"F",18,33,3.66666666666667,2.91666666666667,3.5
"150",24,"M",25,35,2.58333333333333,3.16666666666667,2
"151",19,"F",24,32,4.16666666666667,2.5,3.625
"152",20,"F",23,31,3.25,3.83333333333333,3.375
"153",20,"F",23,28,4.33333333333333,2.25,2.125
"154",17,"F",26,17,3.91666666666667,3.41666666666667,4.625
"155",19,"M",12,19,2.66666666666667,3.75,2.5
"156",20,"F",32,35,3.08333333333333,3,2.875
"157",20,"F",22,24,3.75,2.58333333333333,2.75
"158",20,"F",20,21,4.16666666666667,3.33333333333333,4
"159",20,"F",21,29,4.16666666666667,2.83333333333333,2.375
"160",19,"F",23,19,3.25,3,3.875
"161",19,"F",20,20,4.08333333333333,2.83333333333333,3.375
"162",22,"F",28,42,2.91666666666667,3.16666666666667,1.75
"163",35,"M",31,41,3.83333333333333,2.75,3
"164",18,"F",18,37,3.16666666666667,3.41666666666667,2.625
"165",19,"F",30,36,3.41666666666667,3,2.625
"166",21,"M",19,18,4.08333333333333,2.66666666666667,3.375
